"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C202,C206,C212,C300,C301,C302,C303,C304,C305,C306,C307,C308,C309,C401,C402,C600,C700","100nF","~","Capacitor_SMD:C_0805_2012Metric","17",""
"C500","10nF","~","Capacitor_SMD:C_0805_2012Metric","1",""
"R100,R101,R102,R105,R107,R110,R215,R228,R402","220","~","Resistor_SMD:R_0805_2012Metric","9",""
"R103,R108,R111,R204,R205,R210,R211,R217,R218,R223,R224,R230,R231,R403,R503,R504","10k","~","Resistor_SMD:R_0805_2012Metric","16",""
"R104,R106,R109,R112,R500,R501","120k","~","Resistor_SMD:R_0805_2012Metric","6",""
"R203,R209,R216,R222,R229,R502","33k","~","Resistor_SMD:R_0805_2012Metric","6",""
"R300","330","~","Resistor_SMD:R_0805_2012Metric","1",""
"R301","680","~","Resistor_SMD:R_0805_2012Metric","1",""
"R400","2.2k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R401","2.4k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R900,R901,R902,R903,R904","4.7k","~","Resistor_SMD:R_0805_2012Metric","5",""
"R1000,R1001,R1002,R1100,R1101,R1102,R1103,R1104","1k","~","Resistor_SMD:R_0805_2012Metric","8",""
